,Document Title,Publication Year,Publication Title,Authors,Volume,Issue,Start Page,End Page,Abstract,DOI,PDF Link,Author Keywords,IEEE Terms,Article Citation Count,Reference Count,Document Identifier,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Reinforcement Learning for Service Function Chain Reconfiguration in NFV-SDN Metro-Core Optical Networks,2019,IEEE Access,S. Troia; R. Alvizu; G. Maier,7,,167944,167957,"With the advent of 5G technology, we are witnessing the development of increasingly bandwidth-hungry network applications, such as enhanced mobile broadband, massive machine-type communications and ultra-reliable low-latency communications. Software Defined Networking (SDN), Network Function Virtualization (NFV) and Network Slicing (NS) are gaining momentum not only in research but also in IT industry representing the drivers of 5G. NS is an approach to network operations allowing the partition of a physical topology into multiple independent virtual networks, called network slices (or slices). Within a single slice, a set of Service Function Chains (SFCs) is defined and the network resources, e.g. bandwidth, can be provisioned dynamically on demand according to specific Quality of Service (QoS) and Service Level Agreement (SLA) requirements. Traditional schemes for network resources provisioning based on static policies may lead to poor resource utilization and suffer from scalability issues. In this article, we investigate the application of Reinforcement Learning (RL) for performing dynamic SFC resources allocation in NFV-SDN enabled metro-core optical networks. RL allows to build a self-learning system able to solve highly complex problems by employing RL agents to learn policies from an evolving network environment. In particular, we build an RL system able to optimize the resources allocation of SFCs in a multi-layer network (packet over flexi-grid optical layer). The RL agent decides if and when to reconfigure the SFCs, given state of the network and historical traffic traces. Numerical simulations show significant advantages of our RL-based optimization over rule-based optimization design.",10.1109/ACCESS.2019.2953498,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901169,Software-defined networking;network function virtualization;network slicing;virtual service chain;reinforcement learning;deep learning;mixed integer linear programming,Quality of service;Optical fiber networks;Resource management;Reinforcement learning;Quality of experience;Optimization;Heuristic algorithms,,42,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Virtualized Network Function Consolidation Based on Multiple Status Characteristics,2019,IEEE Access,D. Qi; S. Shen; G. Wang,7,,59665,59679,"In network function virtualization (NFV), network function implemented in software on the generally shared servers is called virtualized network function (VNF). The characteristics of virtualization provide service function chain (SFC) provisioning with the required flexibility by allowing for placing VNFs anywhere and anytime. However, there may be a large number of servers with low utilization across the network at the low-load time, leading to enormous loss of energy. VNF consolidation, as an effective way to address this issue, allows for energy saving by consolidating VNFs into as fewer servers as possible. Unfortunately, it involves multiple conflicting goals, such as energy saving, bandwidth usage minimization, and migration cost reduction, which makes it hard to implement in practical environments. In order to achieve the tradeoff among these goals, this paper proposes a VNF consolidation method, VCMM, which determines appropriate servers to be turned off by leveraging neural network with multiple network status characteristics as input. The neural network is trained using the particle swarm optimization algorithm (PSO). VCMM migrates VNFs on servers to be turned off by adopting a greedy mechanism. Through extensive simulations, we demonstrate that the proposed VCMM outperforms prior approaches in terms of energy, bandwidth, and migration costs.",10.1109/ACCESS.2019.2915919,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8710272,Multiple status characteristics;network function virtualization (NFV);virtualized network function consolidation,Servers;Substrates;Bandwidth;Noise measurement;Virtualization;Software;Telecommunications,,39,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Optimizing Resource Allocation for Virtualized Network Functions in a Cloud Center Using Genetic Algorithms,2017,IEEE Transactions on Network and Service Management,W. Rankothge; F. Le; A. Russo; J. Lobo,14,2,343,356,"With the introduction of network function virtualization technology, migrating entire enterprise data centers into the cloud has become a possibility. However, for a cloud service provider (CSP) to offer such services, several research problems still need to be addressed. In previous work, we have introduced a platform, called network function center (NFC), to study research issues related to virtualized network functions (VNFs). In an NFC, we assume VNFs to be implemented on virtual machines that can be deployed in any server in the CSP network. We have proposed a resource allocation algorithm for VNFs based on genetic algorithms (GAs). In this paper, we present a comprehensive analysis of two resource allocation algorithms based on GA for: 1) the initial placement of VNFs and 2) the scaling of VNFs to support traffic changes. We compare the performance of the proposed algorithms with a traditional integer linear programming resource allocation technique. We then combine data from previous empirical analyses to generate realistic VNF chains and traffic patterns, and evaluate the resource allocation decision making algorithms. We assume different architectures for the data center, implement different fitness functions with GA, and compare their performance when scaling over the time.",10.1109/TNSM.2017.2686979,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7885521,Network function virtualization (NFV);cloud resources optimization;genetic algorithms,Resource management;Servers;Cloud computing;Optimization;Genetic algorithms;Algorithm design and analysis;Computer architecture,30,38,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Robust embedding of VNF/service chains with delay bounds,2016,2016 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN),V. S. Reddy; A. Baumgartner; T. Bauschert,,,93,99,"The efficient and carrier-grade operation of virtualised network infrastructures (Infrastructure as a Service, IaaS) within Cloud Systems requires powerful methods for dynamic resource provisioning, virtual network functions (VNF) placement and interconnection. In the scientific literature, already several contributions related to the virtual network embedding (VNE) problem can be found, see [1] and the references therein as well as our previous contributions [2], [3]. Typically, the physical substrate infrastructure (network nodes with switching, processing and storage resources, and links with defined bandwidth) as well as the traffic demands of the virtual networks are given and the target is to minimise the embedding cost wrt. performance and QoS constraints (e.g. bandwidth guarantees, latency bounds). In this contribution, we propose a novel optimisation model based on the concept of Γ-robustness [4], [5] to deal with uncertainties in the traffic demand and as a consequence in the resource requirements of the VNFs while fulfilling individual average roundtrip delay bounds for each chain of VNFs. The Γ-robust optimisation model is formulated as a mixed-integer linear program (MILP). Moreover, in order to enhance the scalability of the model, a modified MIP-based Variable Neighbourhood Search (VNS) heuristic is proposed. The performance of the novel optimisation model and the heuristic is evaluated for different performance scenarios using a network topology example taken from SNDlib [6].",10.1109/NFV-SDN.2016.7919482,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7919482,Virtual Network Embedding;Network Functions Virtualisation;Virtual Network Function Chaining;Robust Optimisation,Robustness;Optimization;Uncertainty;Substrates;Delays;Mathematical model;Switches,6,16,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Survivable Multipath Virtual Network Embedding Against Multiple Failures for SDN/NFV,2018,IEEE Access,S. Yin; S. Huang; H. Liu; B. Guo; T. Gao; W. Li,6,,76909,76923,"Network virtualization holds a great promise for next-generation network, because it enables sharing of physical infrastructure among different users/services, in a logical isolated way, to achieve higher efficiency and greater flexibility of resources. By using optical network of extremely large capacity, more services can be carried out, but that leads to increase in substrate failures. This problem can be addressed by using survivable virtual network embedding (SVNE), more commonly with single-path provisioning (SPP) than multipath provisioning (MPP), although the former consumes more resources. However, only a few schemes consider using one-to-multi node mapping in SVNE. Now, one-to-multi node mapping and MPP scheme can be easily implemented in SVNE for software defined network (SDN) and network function virtualization (NFV) technology. So, this paper investigates the feasibility of implementing the SVNE scheme, with MPP and one-to-multi node mapping, to achieve higher reliability and better efficiency in elastic optical network. This scheme considers four key points: 1) the number and resource requirement of physical nodes that carry one virtual node, 2) the spectrum requirement of each path of one virtual link, 3) the number of paths considering shared risk group, and 4) graph theory, which are used in the scheme. Three contrasting schemes are formulated as integer linear programming models and their simulation are carried out. The results show that the proposed survivable multipath virtual network embedding scheme against multiple failures, with SDN/NFV, achieves significant gain in terms of spectrum efficiency and survivability.",10.1109/ACCESS.2018.2882793,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8543228,Virtual network embedding;survivability;routing and resource assignment;multipath provisioning;multiple failures,Substrates;Network function virtualization;Optical fiber networks;Virtualization;Routing;Topology;Software,,51,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
OK,Offline SLA-Constrained Deep Learning for 5G Networks Reliable and Dynamic End-to-End Slicing,2019,IEEE Journal on Selected Areas in Communications,H. Chergui; C. Verikoukis,PP,99,1,1,"In this paper, we address the issue of resource provisioning as an enabler for end-to-end dynamic slicing in software defined networking/network function virtualization (SDN/NFV)-based fifth generation (5G) networks. The different slices’ tenants (i.e. logical operators) are dynamically allocated isolated portions of physical resource blocks (PRBs), baseband processing resources, backhaul capacity as well as data forwarding elements (DFE) and SDN controller connections. By invoking massive key performance indicators (KPIs) datasets stemming from a live cellular network endowed with traffic probes, we first introduce a low-complexity slices’ traffics predictor based on a soft gated recurrent unit (GRU). We then build—at each virtual network function—joint multi-slice deep neural networks (DNNs) and train them to estimate the required resources based on the traffic per slice, while not violating two service level agreement (SLA), namely, violation rate-based SLA and resource bounds-based SLA. This is achieved by integrating dataset-dependent generalized non-convex constraints into the DNN offline optimization tasks that are solved via a non-zero sum two-player game strategy. In this respect, we highlight the role of the underlying hyperparameters in the trade-off between overprovisioning and slices’ isolation. Finally, using reliability theory, we provide a closed-form analysis for the lower bound of the so-called reliable convergence probability and showcase the effect of the violation rate on it.",10.1109/JSAC.2019.2959186,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8931583,5G;deep neural networks;dynamic slicing;non-convex optimization;reliability theory;SDN/NFV;SLA;violation rate,,,,IEEE Early Access Articles,,,,,,,,,,,,,,,,,,,,,,,,,
EC3,An SLA-Aware Network Function Selection Algorithm for SFCs,2019,2019 IEEE 2nd 5G World Forum (5GWF),G. Garg; V. Reddy; V. Sathya; A. Franklin A; R. T. Bheemarjuna,,,524,527,"5G is expected to support diverse services with different service requirements. Network Slicing (NS) is a new paradigm which aims to assign different services to a logically dedicated network. A network slice can host multiple services of similar requirements. The traffic flows belonging to a service are processed by a sequence of Virtual Network Functions (VNFs) which form a Service Function Chain (SFC). To utilize the resources efficiently, an operator can share the same VNF instance for multiple SFCs. The CPU utilization of a VNF instance can increase when new flows are accepted. This may increase the VNF delay which can result in the violation of SLA requirements of the existing flows. Therefore, an efficient VNF selection to form SFCs while meeting the SLA requirements is an important aspect that needs to be addressed. In this paper, we address the VNF selection problem for an SFC with the goal of supporting more number of SFCs by considering the dynamic variation of VNF delay. We develop a heuristic algorithm namely PENDANT which considers the effect of CPU utilization on VNF delay and migrates flows to other VNF instances to avoid SLA violations.",10.1109/5GWF.2019.8911716,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8911716,,Delays;Heuristic algorithms;5G mobile communication;Noise measurement;Optimization;Network function virtualization;Linear programming,,12,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Maestro: An NFV Orchestrator for Wireless Environments Aware of VNF Internal Compositions,2017,2017 IEEE 31st International Conference on Advanced Information Networking and Applications (AINA),A. G. Dalla-Costa; L. Bondan; J. A. Wickboldt; C. B. Both; L. Z. Granville,,,484,491,"Dynamic Cloud Radio Access Network (Dynamic C-RAN) is an emerging wireless architecture that aims for flexibility, business agility, adaptability, among other benefits. In a Dynamic C-RAN, wireless functionalities can be split into smaller components and distributed along a hierarchical cloud infrastructure. Network Functions Virtualization (NFV) concepts have been recently investigated to facilitate management-related operations of these wireless functionalities. Despite the many advocated advantages of the function's splitting and the effectiveness of NFV orchestration solutions, both academia and industry are considering Virtualized Network Functions (VNF)s as atomic elements, disregarding the potential advantages of splitting VNFs into several different components. Aiming to improve VNF orchestration in Dynamic C-RAN scenarios, in this paper we propose Maestro: an NFV orchestrator for wireless environments that is able to decide among several possible VNF compositions which are more suitable for each situation. Maestro is designed to operate using different decision mechanisms that can be defined based on network operators' needs. We evaluate the effectiveness of our proposal by modeling the orchestrator's decision mechanism as a linear programming problem. Thus, we show how fronthaul bandwidth consumption can be reduced threefold considering different VNF compositions against atomic VNF placement.",10.1109/AINA.2017.126,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920948,Dynamic C-RAN;NFV orchestration;VNF composition,Cloud computing;Proposals;Wireless networks;Dynamic programming;Computer architecture,1,23,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,ClusPR: Balancing Multiple Objectives at Scale for NFV Resource Allocation,2018,IEEE Transactions on Network and Service Management,Y. T. Woldeyohannes; A. Mohammadkhan; K. K. Ramakrishnan; Y. Jiang,15,4,1307,1321,"Network function virtualization (NFV) implements network middleboxes in software, enabling them to be more flexible and dynamic. NFV resource allocation methods can exploit the capabilities of virtualization to dynamically instantiate network functions (NFs) to adapt to traffic demand and network conditions. Deploying NFs requires decisions for NF placement, and routing of flows through these NFs in accordance with the sequence of NFs required to process each flow. The challenges in developing an NFV resource allocation scheme include the need to manage the dependency between flow-level (routing) and network-level (placement) decisions and to efficiently utilize resources that may be distributed network-wide, while fulfilling the performance requirements of flows. We propose a scalable resource allocation scheme, called ClusPR, that addresses these challenges. By elegantly capturing the dependency between flow routing and NF placement, ClusPR strikes a balance between multiple objectives including minimizing path stretch, balancing the load among NF instances, while maximizing the total network utilization by accommodating the maximum number of flows possible. ClusPR addresses the offline problem of NFV resource allocation. To address the online problem of dynamically placing and routing flows upon their arrival, we propose iClusPR. iClusPR is an online algorithm that performs dynamic scaling by adjusting the number of NF instances based on the traffic demand and the network state. Our experiments show that ClusPR achieves the near-optimal solution for a practical large-sized network in reasonable time. Compared to the state-of-the-art approaches, ClusPR decreases the average normalized delay by a factor of 1.2 - 1.6 × and the worst-case delay by more than 10 ×, with the same or slightly better network utilization and balances the load among NF instances. Furthermore, the performance of iClusPR, the online version, is comparable to the offline ClusPR algorithm.",10.1109/TNSM.2018.2870733,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466627,NFV;orchestration;placement;flow routing;multi-objective;load balancing;clustering,Noise measurement;Resource management;Routing;Delays;Software defined networking;Heuristic algorithms;Middleboxes,5,33,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,Information-Centric Virtualization for Software-Defined Statistical QoS Provisioning Over 5G Multimedia Big Data Wireless Networks,2019,IEEE Journal on Selected Areas in Communications,X. Zhang; Q. Zhu,37,8,1721,1738,"The multimedia transmission represents a typical big data application in the fifth-generation (5G) wireless networks. However, supporting multimedia big data transmission over 5G wireless networks imposes many new and open challenges because multimedia big data services are both time-sensitive and bandwidth-intensive over time-varying wireless channels with constrained wireless resources. To overcome these difficulties, in this paper we propose the information-centric virtualization architectures for software-defined statistical delay-bounded quality of service (QoS) provisioning over 5G multimedia big data wireless networks. In particular, our proposed schemes integrate the three 5G-promising candidate techniques to guarantee the statistical delay-bounded QoS for multimedia big data transmissions: 1) information-centric network (ICN), to derive the optimal in-network caching locations for multimedia big data; 2) network functions virtualization (NFV), to abstract the PHY-layer infrastructures into several virtualized networks to derive the optimal multimedia data contents delivery paths; and 3) software-defined networks (SDNs), to dynamically reconfigure wireless resources allocation architectures through the SDN-control plane. Under our proposed architectures, to jointly optimize the implementations of NFV and SDN techniques under ICN architectures, we develop the three virtual network selection and transmit-power allocation schemes to: 1) maximize single user's effective capacity; 2) jointly optimize the aggregate effective capacity and allocation fairness over all users; and 3) coordinate non-cooperative gaming among all users, respectively. By simulations and numerical analyses, we show that our proposed architectures and schemes significantly outperform the other existing schemes in supporting the statistical delay-bounded QoS provisioning over the 5G multimedia big data wireless networks.",10.1109/JSAC.2019.2927088,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8756123,5G multimedia big data wireless networks;ICN;NFV;SDN;optimal transmit power;statistical delay-bounded QoS;effective capacity;relay selection,Big Data;Quality of service;Wireless networks;5G mobile communication;Resource management;Wireless sensor networks,,38,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Virtual-network-function placement for dynamic service chaining in metro-area networks,2018,2018 International Conference on Optical Network Design and Modeling (ONDM),L. Askari; A. Hmaity; F. Musumeci; M. Tornatore,,,136,141,"The advent of new services with stringent requirements on bandwidth and latency has led to a downward curve in per-user revenues of telecom operators. This has stimulated a significant shift in the way operators provision their services, moving from the utilization of dedicated and static hardware to support network functions (as NATs, firewalls, etc.), to the deployment of Virtual Network Functions (VNFs) in the form of dynamically-reconfigurable virtual machines on low-cost servers and switches. These VNFs must be chained together and should be placed optimally to meet the Quality of Service requirements of the supported services. This problem consists in placing the VNFs and routing traffic sequentially among them and is known as Service Chaining (SC). Solving this problem dynamically based on how traffic evolves allows to achieve great flexibility in resource assignment in the existing infrastructure and to save operational expenditures. An effective algorithm for dynamic SC must promote consolidation in VNF placement (it is desirable to consolidate VNFs in the fewer possible number of network nodes), while maintaining low blocking probability and guaranteeing latency targets to the supported services. In this paper we propose an algorithm which performs dynamic SC in a metro-area network, while minimizing average number of nodes required to host VNF instances as well as the blocking probability. This algorithm can help telecom operators reduce their operational expenditures up to 50% by activating less nodes to host VNFs in the network, while maintaining an acceptable level of blocking probability.",10.23919/ONDM.2018.8396120,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8396120,,Heuristic algorithms;Quality of service;Network topology;Delays;Bandwidth;Topology;Microprocessors,11,21,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Online Learning-Assisted VNF Service Chain Scaling with Network Uncertainties,2017,2017 IEEE 10th International Conference on Cloud Computing (CLOUD),X. Wang; C. Wu; F. Le; F. C. M. Lau,,,205,213,"Network function virtualization has emerged as a promising technology to enable rapid network service composition/innovation, energy conservation and cost minimization for network operators. To optimally operate a virtualized network service, it is of key importance to optimally deploy a VNF (virtualized network function) service chain within the provisioning infrastructure (e.g., servers and the network within a cloud datacenter), and dynamically scale it in response to flow traffic changes. Most of the existing work on VNF scaling assume access to precise network bandwidth information for placement decisions, while in reality, network bandwidth typically fluctuates following an unknown pattern and an effective way to adapt to it is to do trials. In this paper, we address dynamic VNF service chain deployment and scaling by a novel combination of an online provisioning algorithm and a multi-armed bandit optimization framework, which exploits online learning of the available bandwidths to enable optimal deployment of a scaled service chain. Specifically, we adopt the online algorithm to minimize the cost for provisioning VNF instances on the go, and a bandit-based online learning algorithm to place the VNF instances which minimizes the congestion in a datacenter network. We demonstrate effectiveness of our algorithms using solid theoretical analysis and trace-driven evaluation.",10.1109/CLOUD.2017.34,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8030590,,Servers;Bandwidth;Algorithm design and analysis;Cloud computing;Optimization;Uncertainty;Virtualization,5,26,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,Self provisioning framework for virtualized network functions,2018,"2018 21st Conference on Innovation in Clouds, Internet and Networks and Workshops (ICIN)",M. Mechteri; I. G. Ben Yahia,,,1,3,"The Dynamic nature of the future software networks built upon SDN, NFV and Cloud principles calls for continuous provisioning to ensure service availability and continuity. In this paper, we present and demonstrate a Self-provisioning framework for efficient deployment, configuration and chaining virtual network function in real cloud infrastructure. The Self Provisioning framework realizes dynamic and agile adjustment of the resource allocation to the customer requests with 1) smart triggering of the right optimization algorithm and 2) dynamic workflow establishment including the configuration of the framework modules. The framework relies on the autonomic control loop design, a.k.a. MAPE-K (Monitor, Analyse, Plan, Execute-Knowledge).",10.1109/ICIN.2018.8401598,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401598,Autonomic;Service functions chaining;MAPE-K;VNF placement and chaining,Heuristic algorithms;Optimization;Cloud computing;Heating systems;Dynamic scheduling;Software algorithms,,6,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Affinity measurement for NFV-enabled networks: A criteria-based approach,2017,2017 IFIP/IEEE Symposium on Integrated Network and Service Management (IM),A. S. Jacobs; R. L. do Santos; M. F. Franco; E. J. Scheid; R. J. Pfitscher; L. Z. Granville,,,125,133,"Network Functions Virtualization (NFV) offers several benefits for Service Providers (SPs), such as mitigating equipment cost and increasing business agility. In NFV-enabled networks, inadequate placement of Virtualized Network Functions (VNFs) creates bottlenecks, impacting negatively on performance. Therefore, network operators must establish affinity and anti-affinity rules to avoid network and processing bottlenecks, and thus comply with Service Level Agreement (SLA) requirements of tenants. Affinity and anti-affinity rules in NFV must be broad and carefully elaborated to maintain service performance. Network operators must consider further than simply resource allocation when identifying affinity among VNFs. The criteria for VNFs affinity varies for different forwarding graphs. Geolocation, latency, packet loss, and bandwidth usage are some examples of criteria that can be considered as indicators of bottlenecks in high traffic networks. In this paper, we propose a solution to measure affinity between pairs of VNFs, based on a weighted set of affinity criteria considered relevant by a network operator. To evaluate the feasibility of our affinity model, we analyze three case studies over an experimental NFV scenario. We conclude that our affinity model can help network operators identify the cause of issues in NFV-enabled networks, as well as it may be used by NFV orchestrators to aid on VNFs migration and embedding.",10.23919/INM.2017.7987272,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7987272,,Bandwidth,2,14,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,CoDeC: A Cost-Effective and Delay-Aware SFC Deployment,2019,IEEE Transactions on Network and Service Management,F. Tashtarian; M. F. Zhani; B. Fatemipour; D. Yazdani,PP,99,1,1,"Service Function Chain (SFC) provides an end-to-end service by processing traffic flow through a series of Virtual Network Functions (VNFs) in a specific order. Satisfying user’s demands (e.g, end-to-end delay) on one hand and minimizing the cost of SFC deployment in terms of energy and resource on the other hand, introduces VNFs placement as a crucial issue that is receiving significant attention by researchers. To address this problem and boost the performance of SFC, different techniques such as Network Function (NF) distribution, NF parallelism and optimal resource allocation have been utilized. Applying these mechanisms imposes other costs which must be taken into account by network providers. In this paper, we introduce CoDeC as a Cost-effective and Delay-aware resource allocation approach. By having user defined end-to-end threshold and using aforementioned mechanisms, CoDeC tries to place the requested VNFs with the minimum cost of deployment, distribution, parallelism and energy. Therefore, we formulate the addressed problem in form of Mixed Integer linear Programming (MILP) model. We then show that the problem is NP-complete and suffers from high time complexity in large-scale scenarios. Thus, a heuristic algorithm is introduced to determine a near-optimal solution in a reasonable amount of time. Our simulation results show that CoDeC achieves better performance in term of cost and acceptance rate compared to using each mechanism individually.",10.1109/TNSM.2019.2949753,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8884113,SFC;Network Function Virtualization;NF parallelism;NF distribution.,Noise measurement;Delays;Parallel processing;Resource management;Codecs;Optimization;Mirrors,,,IEEE Early Access Articles,,,,,,,,,,,,,,,,,,,,,,,,,
EC3,A New Optimization Model and Algorithm for a Network Scheduling Problem in Inter-Datacenters Elastic Optical Networks,2017,2017 13th International Conference on Computational Intelligence and Security (CIS),H. Xuan; Y. Wang; S. Guan; Z. Xu,,,30,34,"The routing and virtual network function (VNF) deployment for VNF service chaining in inter-datacenters elastic optical networks (inter-DC EONs) is an important network scheduling problem. In this paper, the problem tackled is more complex and practical than those tackled in the existing works in the following three aspects: 1) each datacenter can only provide some specific (not all) VNFs; 2) the resource of both bandwidth and datacenters system (not the resource of bandwidth only) is considered; 3) a part of VNFs are dependent (not assuming all VNFs are independent). To solve this challenging problem, we first establish a global optimization model for this problem. Then, an efficient genetic algorithm with tailor-made encoding scheme is proposed to solve the model. Finally, the simulation experiments are conducted on several situations, and the results indicate that the proposed model is reasonable and the proposed algorithm is efficient.",10.1109/CIS.2017.00015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8288437,Elastic Optical Networks (EONs);VNF service chaining;VNF deployment;Genetic Algorithm,Routing;Sociology;Statistics;Optical fiber networks;Bandwidth;Optimization;Genetic algorithms,,16,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,Towards Reducing Last-Level-Cache Interference of Co-Located Virtual Network Functions,2019,2019 28th International Conference on Computer Communication and Networks (ICCCN),R. Durner; C. Sieber; W. Kellerer,,,1,9,"Network Function Virtualization (NFV) aims to virtualize compute resources for packet processing in order to gain flexibility and reduce costs. In order to increase the resource utilization, multiple VNFs are co-located on one single server. Current virtualization techniques do not fully isolate all resources, thus co-location of VNFs causes interference effects. It has been shown that these interference effects can degrade the performance of Virtualized Network Functions (VNFs) in terms of throughput and delay severely. In this work we aim to gather the potential that lies in reduction of the interference due to the shared Last Level Cache (LLC). CPU caches are used to improve the access times to memory that is needed regularly for the execution of a program. Intel Cache Allocation Technology (CAT) provides the means to allocate the cache and isolate VNFs from each other. The results show that the scheduler can decrease the CPU utilization by up to 20%. We can show which factors influence the gain of LLC scheduling in NFV deployments. In order to show this we propose a scheduler which optimally allocates the LLC in order to reduce the maximum CPU utilization of all cores.",10.1109/ICCCN.2019.8846943,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8846943,,Interference;Resource management;Servers;Cats;Task analysis;Degradation;Bandwidth,,18,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,VNF-B&B: Enabling edge-based NFV with CPE resource sharing,2017,"2017 IEEE 28th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)",H. Zhu; C. Iluang,,,1,5,"For embracing the ubiquitous Internet-of-Things (IoT) devices, edge computing and Network Function Virtualization (NFV) have been enabled in branch offices and homes to provide network functions on top of generic physical Customer-Premises Equipment (pCPE). While latency can be greatly reduced as most traffic does not need to be transmitted to a remote, centralized cloud, the resource limitation of a single pCPE makes it difficult for VNFs to be elastic enough upon usage surge. In this paper, we present VNF-B&B, an architecture featuring resource sharing of pCPE across the network edge. SP utilizes idle, shareable pCPE nodes as bed-and-breakfast places to deploy VNFs of other users for a certain period. By keeping the VNFs at the network edge, the cost is minimized for processing real-time data burst from IoT devices. Meanwhile, the traffic load to the core network and service delay is substantially reduced.",10.1109/PIMRC.2017.8292421,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8292421,,Cloud computing;Delays;Bandwidth;Resource management;Mathematical model;Edge computing;Virtualization,,12,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Virtual network mapping for multicast services with max-min fairness of reliability,2015,IEEE/OSA Journal of Optical Communications and Networking,X. Gao; Z. Ye; J. Fan; W. Zhong; Y. Zhao; X. Cao; H. Yu; C. Qiao,7,9,942,951,"Network function virtualization (NFV) provides an effective way to reduce the network provider's cost by allowing multiple virtual networks (VNs) to share the underlying physical infrastructure. In the NFV environment, especially when supporting multicast services over the VNs, reliability is a critical requirement since the failure of one virtual node can cause the malfunction of multiple nodes that receive multicasting data from it. In this paper, we study for the first time to the best of our knowledge how to efficiently map VNs for multicast services over both general IP networks and orthogonal frequency division multiplexing (OFDM)-based elastic optical networks (EONs) while taking into consideration the max-min fairness in terms of reliability among distinct VNs. For general IP networks, we propose a mixed integer linear programming (MILP) model to determine the upper bound on the reliability with max-min fairness. In addition, an efficient heuristic, namely a reliability-aware genetic (RAG) algorithm, is developed to address reliable multicast VN mapping with a low computational complexity. By encoding multicast tree construction and link mapping into the process of path selection, taking into consideration the reliability with max-min fairness, and the networking reliability factors during mutation, RAG can globally optimize the reliability and fairness of all the multicast VN requests. For OFDM-based EONs, we extend the MILP (RAG) to optical-MILP [(O-MILP) optical RAG (O-RAG)] by considering the most efficient modulation format selection strategy, spectrum continuity, and conflict constraints. Through extensive simulations, we demonstrate that RAG (O-RAG) achieves close to the optimal reliability fairness with a much lower time complexity than the MILP (O-MILP) model. In particular, the path reliability-based mutation strategy in RAG (O-RAG) yields a significant performance improvement over other heuristic solutions in terms of reliability fairness, bandwidth (spectrum) consumption, and transmission delay.",10.1364/JOCN.7.000942,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7255260,Elastic optical networks (EONs);Mixed integer linear programming (MILP);Multicast;Reliability with max-min fairness;Virtual network mapping,Reliability;Magnetic resonance imaging;Computer network reliability;Routing;IP networks;Bandwidth;Manganese,9,,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
