Dynamic Auto-scaling of VNFs based on Task Execution Patterns,IEEE
A Queuing Based Dynamic Auto Scaling Algorithm for the LTE EPC Control Plane,IEEE
Virtualized Network Coding Functions on the Internet,IEEE
Dynamic Allocation of Processing Resources in Cloud-RAN for a Virtualised 5G Mobile Network,IEEE
Seamless Support of Low Latency Mobile Applications with NFV-Enabled Mobile Edge-Cloud,IEEE
MDP and Machine Learning-Based Cost-Optimization of Dynamic Resource Allocation for Network Function Virtualization,IEEE
Sparse Regression Model to Predict a Server Load for Dynamic Adjustments of Server Resources,IEEE
On the Scaling of Virtualized Network Functions,IEEE
Data-driven Resource Allocation in Virtualized Environments,IEEE
Efficient reconfigurable bandwidth allocation mechanism for virtual network,IEEE
Proposal and Investigation of an Optical Reconfiguration Cost Aware Policy for Resource Allocation in Network Function Virtualization Infrastructures,IEEE
Design and evaluation of learning algorithms for dynamic resource management in virtual networks,IEEE
Dynamic Reservation and Deep Reinforcement Learning based Autonomous Resource Management for wireless Virtual Networks,IEEE
Prognostic-Reactive NFV Resource Allocation Method for Implementation in Virtualized Mobile Network EPC of Ukraine,IEEE
Self-managed resources in network virtualisation environments,IEEE
Adaptive Virtual Network Slices for Diverse IoT Services,IEEE
Neural network-based autonomous allocation of resources in virtual networks,IEEE
Software Defined Storage for cooperative Mobile Edge Computing systems,IEEE
Virtual network reconfiguration in elastic optical path networks for future bandwidth allocation,IEEE
A new resource management algorithm of a virtual internet architecture,IEEE
HDSO: A High-Performance Dynamic Service Orchestration Algorithm in Hybrid NFV Networks,IEEE
Adaptive SLA-based elasticity management algorithms for a virtualized IP multimedia subsystem,IEEE
IoNCloud: Exploring application affinity to improve utilization and predictability in datacenters,IEEE
Toward Optimal Resource Allocation of Virtualized Network Functions for Hierarchical Datacenters,IEEE
StarCube: An On-Demand and Cost-Effective Framework for Cloud Data Center Networks with Performance Guarantee,IEEE
Resource Allocation in Adaptive Virtualized Wireless Networks with Mobile Edge Computing,IEEE
SeReNe: On Establishing Secure and Resilient Networking Services for an SDN-based Multi-tenant Datacenter Environment,IEEE
A self-stabilizing framework for dynamic bandwidth allocation in virtual networks,IEEE
Performance Modeling of Softwarized Network Services Based on Queuing Theory with Experimental Validation,IEEE
Dynamic resource management in SDN-based virtualized networks,IEEE
Filtering observations to improve resource control in virtual computer and network systems,IEEE
Profile-Based Resource Allocation for Virtualized Network Functions,IEEE
Joint Spectrum Reservation and On-Demand Request for Mobile Virtual Network Operators,IEEE
The Next Generation Heterogeneous Satellite Communication Networks: Integration of Resource Management and Deep Reinforcement Learning,IEEE
An Efficient and Lightweight Load Forecasting for Proactive Scaling in 5G Mobile Networks,IEEE
Processing Time Aware Resource Allocation in Software Defined RANs,IEEE
NFV Closed-loop Automation Experiments using Deep Reinforcement Learning,IEEE
